"83111111111";"100000222222221";"200000333333331"
"83111111112";"100000222222222";"200000333333332"
"83111111113";"100000222222223";"200000333333321"
"83111111114";"100000222222224";"200000333333334"
"83111111115";"100000222222225";"200000333333335"
"83111111116";"100000222222226";"200000333333336"
"83111111117";"100000222222227";"200000333333337"
"83111111118";"100000222222228";"200000333333338"
"83111111119";"100000222222229";"200000333333339"
"83111111110";"100000222222220";"200000333333330"
"83111111122";"100000222222211";"200000333333311"
"83111111121";"100000222222212";"200000333333312"
"83111111123";"100000222222213";"200000333333313"
"83111111124";"100000222222214";"200000333333314"
"83111111125";"100000222222215";"200000333333315"
"83111111126";"100000222222216";"200000333333316"
"83111111127";"100000222222217";"200000333333317"
"83111111128";"100000222222218";"200000333333318"
"83111111129";"100000222222219";"200000333333319"
"83111111130";"100000222222220";"200000333333320"
"83111111111";"100000222222221";"200000333333321"
"83111111114";"100000222222222";"200000333333322"
"83111111117";"100000222222232";"200000333333323"
"83111111112";"100000222222224";"200000333333324"
"83111111130";"100000222222226";"200000333333325"
